id,nameKo,nameEn,shortDescription,rulesSummary,minPlayers,maxPlayers,avgPlayTimeMinutes,difficulty,genre,tags,isBeginnerFriendly,isKidFriendly,isPartyGame,isStrategyGame,playStyle,imageUrl,imageSource,imageLicense,dataSourceUrl,dataLicense,contentLicense,reviewedAt,reviewedBy,aliases
splendor,스플렌더,Splendor,보석 토큰을 모아 카드를 사고 점수를 만드는 입문 전략 게임입니다.,토큰을 가져가거나 카드를 구매해 귀족과 점수를 얻습니다.,2,4,30,easy,strategy,엔진빌딩|카드,true,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q20037103.json,CC0-1.0,project-authored,2026-07-18,project-curation,스플랜더|splender
codenames,코드네임,Codenames,한 단어 힌트로 같은 팀의 요원을 찾는 팀 파티 게임입니다.,팀장은 단어와 숫자를 말하고 팀원은 관련된 카드들을 선택합니다.,4,8,20,easy,party,단어|팀전,true,true,true,false,team,,,,https://www.wikidata.org/wiki/Special:EntityData/Q25203543.json,CC0-1.0,project-authored,2026-07-18,project-curation,코드 네임|code names
azul,아줄,Azul,공용 타일을 골라 개인 벽을 완성하는 퍼즐 전략 게임입니다.,타일을 가져와 패턴 줄을 채우고 완성된 타일을 벽에 옮겨 점수를 냅니다.,2,4,35,medium,puzzle,타일|패턴,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q44367843.json,CC0-1.0,project-authored,2026-07-18,project-curation,아쥴
dixit,딕싯,Dixit,그림 카드와 이야기 힌트로 서로의 상상을 읽는 파티 게임입니다.,이야기꾼의 힌트에 맞춰 카드를 내고 정답 그림을 추리합니다.,3,8,30,easy,party,그림|이야기,true,true,true,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q906623.json,CC0-1.0,project-authored,2026-07-18,project-curation,딕시트
pandemic,팬데믹,Pandemic,역할을 나눠 전 세계 질병 확산을 막는 협력 게임입니다.,도시를 이동하며 감염을 치료하고 네 가지 치료제를 모두 개발합니다.,2,4,45,medium,cooperative,협력|역할,false,false,false,true,cooperative,,,,https://www.wikidata.org/wiki/Special:EntityData/Q531592.json,CC0-1.0,project-authored,2026-07-18,project-curation,판데믹
ticket-to-ride,티켓 투 라이드,Ticket to Ride,기차 노선을 연결해 목적지를 완성하는 가족 전략 게임입니다.,같은 색 카드를 모아 도시 사이 노선을 점유하고 목적지 점수를 얻습니다.,2,5,45,easy,family,기차|노선,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q228308.json,CC0-1.0,project-authored,2026-07-18,project-curation,티켓투라이드|티투라
terraforming-mars,테라포밍 마스,Terraforming Mars,화성 개발 기업의 생산 엔진을 키우는 장기 전략 게임입니다.,프로젝트를 실행해 산소와 온도와 바다 지표를 올리고 점수를 얻습니다.,1,5,120,hard,strategy,엔진빌딩|SF,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q36718832.json,CC0-1.0,project-authored,2026-07-18,project-curation,테라포밍마스|테포마
chess,체스,Chess,서로 다른 이동 능력의 말을 운용하는 고전 추상 전략 게임입니다.,상대 킹이 피할 수 없도록 공격하는 체크메이트를 만들면 승리합니다.,2,2,45,hard,strategy,추상|고전,false,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q718.json,CC0-1.0,project-authored,2026-07-18,project-curation,
backgammon,백개먼,Backgammon,주사위 결과에 따라 말을 이동시키는 고전 경주 전략 게임입니다.,모든 말을 자신의 홈으로 옮긴 뒤 상대보다 먼저 보드 밖으로 빼냅니다.,2,2,30,medium,strategy,주사위|고전,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q11411.json,CC0-1.0,project-authored,2026-07-18,project-curation,
checkers,체커,Checkers,대각선 이동과 점프로 상대 말을 잡는 추상 게임입니다.,상대 말을 모두 잡거나 더 움직일 수 없게 만들면 승리합니다.,2,2,20,easy,strategy,추상|입문,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1293.json,CC0-1.0,project-authored,2026-07-18,project-curation,드래프츠
monopoly,모노폴리,Monopoly,부동산을 사고 임대료를 받으며 자산을 늘리는 가족 게임입니다.,주사위로 이동해 땅을 거래하고 다른 참가자가 파산할 때까지 운영합니다.,2,8,90,easy,family,경제|주사위,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q17243.json,CC0-1.0,project-authored,2026-07-18,project-curation,
scrabble,스크래블,Scrabble,글자 타일로 단어를 만들어 점수를 얻는 언어 게임입니다.,기존 단어와 교차하도록 새 단어를 놓고 글자 가치만큼 점수를 계산합니다.,2,4,60,medium,family,단어|타일,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q170436.json,CC0-1.0,project-authored,2026-07-18,project-curation,
mahjong,마작,Mahjong,패를 모아 정해진 조합을 완성하는 전통 타일 게임입니다.,차례마다 패를 뽑고 버리며 완성된 세트와 한 쌍을 먼저 만듭니다.,4,4,90,hard,strategy,타일|전통,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q12263.json,CC0-1.0,project-authored,2026-07-18,project-curation,
xiangqi,샹치,Xiangqi,강과 궁이 있는 보드에서 펼치는 중국 전통 전략 게임입니다.,각 기물의 이동 규칙을 활용해 상대 장군을 피할 수 없게 공격합니다.,2,2,45,hard,strategy,추상|전통,false,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q191448.json,CC0-1.0,project-authored,2026-07-18,project-curation,중국 장기
tic-tac-toe,틱택토,Tic-tac-toe,세 칸을 먼저 한 줄로 잇는 간단한 추상 게임입니다.,빈 칸에 번갈아 표시하고 가로 세로 대각선 중 한 줄을 완성합니다.,2,2,5,easy,puzzle,추상|짧은게임,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q210339.json,CC0-1.0,project-authored,2026-07-18,project-curation,삼목
catan,카탄,Catan,자원을 교환해 정착지와 도시를 확장하는 전략 게임입니다.,주사위로 생산된 자원을 거래하고 건설해 목표 승점에 먼저 도달합니다.,3,4,75,medium,strategy,교역|개척,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q17271.json,CC0-1.0,project-authored,2026-07-18,project-curation,카탄의 개척자
cluedo,클루도,Cluedo,용의자와 장소와 도구를 추리하는 미스터리 게임입니다.,단서를 확인하고 가능성을 지우며 숨겨진 세 장의 카드를 정확히 맞힙니다.,2,6,45,easy,family,추리|미스터리,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q17245.json,CC0-1.0,project-authored,2026-07-18,project-curation,클루
snakes-and-ladders,뱀과 사다리,Snakes and Ladders,주사위로 이동하며 사다리와 뱀을 만나는 어린이 경주 게임입니다.,말을 주사위 수만큼 옮기고 사다리는 올라가며 뱀은 내려갑니다.,2,6,20,easy,family,주사위|어린이,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q697302.json,CC0-1.0,project-authored,2026-07-18,project-curation,
battleship,배틀십,Battleship,상대가 숨긴 함선 위치를 좌표로 찾아내는 추리 게임입니다.,좌표를 번갈아 선언해 명중 여부를 기록하고 모든 적 함선을 침몰시킵니다.,2,2,30,easy,strategy,추리|좌표,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q953491.json,CC0-1.0,project-authored,2026-07-18,project-curation,해전
risk,리스크,Risk,지도 위 영토를 점령하고 군대를 운용하는 장기 전략 게임입니다.,군대를 배치하고 인접 지역을 공격해 목표 영토 조건을 달성합니다.,2,6,120,medium,strategy,영토|전쟁,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q12541.json,CC0-1.0,project-authored,2026-07-18,project-curation,
